"","P.locat","NP","GP","BFj","BUj","palsites.real.lon","palsites.real.lat"
"61","outer",1.35934422162421,1.25068875265086,0.00845582059694794,0,162.98283,5.3718
"62","outer",0.0840538408304539,0.0513366888211185,0.00508149299559173,0,163.03365,5.33899
"63","outer",0.418638788244767,0.35085,0,0,162.98364,5.26278
"64","outer",4.94743791694984,4.56672778166701,0.0536767209329843,0,162.97695,5.36937
"65","outer",1.10975330724538,0.981403477337271,0.04121163632593,0.00154637326818209,162.90034,5.31134
"66","outer",2.68641303717965,2.38480604093,0.000651545335167667,0,162.98454,5.37275
"67","inner",0.052527515273005,0.01479,0,0,163.02315,5.32558
"68","inner",0.0426481538706562,0.00657,0,0.00133602035458945,162.95325,5.34423
"69","inner",3.90305813238959,3.45544775485571,0.0157166035800085,0.00103092387660237,162.939,5.32762
"70","inner",0.573607742564042,0.496804579304,0.00367732753289813,0,162.95012,5.3458
"71","inner",0.0490351946334089,0.01152,0,0,162.96646,5.27639
"72","inner",0.990508991446179,0.756340823506432,0.00416454862290916,0,162.95404,5.34976
"73","outer",4.78718099670431,4.18237094247842,0.00279334870466269,0,162.95673,5.26699
"74","outer",5.94594227097096,4.67192624748624,0.00516851464218715,0,162.90755,5.27876
"75","outer",3.01521294205006,2.32057374186957,0.245086236472492,0,162.98051,5.26525
"76","outer",7.79957535568876,6.8410910890954,0.0100628487640852,0.00160903483906451,163.0027,5.37348
"77","outer",9.5186735548416,7.97689028636227,0.0149044977060693,0,162.99699,5.37506
"78","outer",8.51037059678792,8.4784155588871,0.00524183469177518,8.322e-05,162.8967,5.29927
"79","outer",9.06952142725042,7.95077210208991,0.00255214669604888,0.00017481647556402,162.93533,5.32677
"80","outer",8.71981742483056,7.81503957003123,0.000403585223682768,0.000436382573046419,163.03798,5.31259
"81","outer",8.23365779556608,7.37673993267614,0,0,163.03645,5.32721
"82","outer",8.10803771033132,6.77998154472115,0,0.000648983119778137,162.94688,5.35649
"83","outer",8.58735023454564,7.35538852844843,0,0.00270721670791113,163.03059,5.28791
"84","outer",9.30914945372198,7.98102730790622,0.0052418311691982,0.0031531192202791,163.02065,5.27187
"85","outer",19.6491206053047,10.7873803418084,0.00157829057582392,0,162.98283,5.3718
"86","outer",10.6002412657037,8.13577225122858,0.00297681549743057,0,163.03365,5.33899
